time (since java epoch),time since bag start (ms),Manager centralmanager-vm1,Manager centralmanager-vm5,Manager centralmanager-vm9
1554991423185,1941184,0.0297029702970297,0.0,0.01
1554991423854,1941853,0.0297029702970297,0.0,0.0
1554991423888,1941887,0.02,0.0,0.0
1554991424185,1942184,0.02,0.010101010101010102,0.0
1554991424855,1942854,0.02,0.010101010101010102,0.0
1554991424889,1942888,0.02,0.010101010101010102,0.0
1554991425184,1943183,0.02,0.029411764705882353,0.0
1554991425854,1943853,0.02,0.029411764705882353,0.0
1554991425888,1943887,0.03,0.029411764705882353,0.0
1554991426184,1944183,0.03,0.010101010101010102,0.0
1554991426854,1944853,0.03,0.010101010101010102,0.01
1554991426888,1944887,0.010101010101010102,0.010101010101010102,0.01
1554991427185,1945184,0.010101010101010102,0.01,0.01
1554991427854,1945853,0.010101010101010102,0.01,0.0
1554991427888,1945887,0.02,0.01,0.0
1554991428185,1946184,0.02,0.010101010101010102,0.0
1554991428854,1946853,0.02,0.010101010101010102,0.010101010101010102
1554991428888,1946887,0.019801980198019802,0.010101010101010102,0.010101010101010102
1554991429184,1947183,0.019801980198019802,0.019801980198019802,0.010101010101010102
1554991429855,1947854,0.019801980198019802,0.019801980198019802,0.01
1554991429888,1947887,0.02,0.019801980198019802,0.01
1554991430185,1948184,0.02,0.02,0.01
1554991430854,1948853,0.02,0.02,0.0
1554991430888,1948887,0.02,0.02,0.0
1554991431184,1949183,0.02,0.01,0.0
1554991431854,1949853,0.02,0.01,0.01
1554991431888,1949887,0.02,0.01,0.01
1554991432185,1950184,0.02,0.0,0.01
1554991432854,1950853,0.02,0.0,0.0
1554991432888,1950887,0.02,0.0,0.0
1554991433185,1951184,0.02,0.01,0.0
1554991433854,1951853,0.02,0.01,0.02
1554991433888,1951887,0.0297029702970297,0.01,0.02
1554991434185,1952184,0.0297029702970297,0.029411764705882353,0.02
1554991434854,1952853,0.0297029702970297,0.029411764705882353,0.0
1554991434888,1952887,0.02,0.029411764705882353,0.0
1554991435184,1953183,0.02,0.01,0.0
1554991435854,1953853,0.02,0.01,0.01
1554991435888,1953887,0.019801980198019802,0.01,0.01
1554991436184,1954183,0.019801980198019802,0.02,0.01
1554991436854,1954853,0.019801980198019802,0.02,0.010101010101010102
1554991436888,1954887,0.0297029702970297,0.02,0.010101010101010102
1554991437184,1955183,0.0297029702970297,0.02,0.010101010101010102
1554991437864,1955863,0.0297029702970297,0.02,0.01
1554991437888,1955887,0.0297029702970297,0.02,0.01
1554991438184,1956183,0.0297029702970297,0.010101010101010102,0.01
1554991438854,1956853,0.0297029702970297,0.010101010101010102,0.01020408163265306
1554991438889,1956888,0.02,0.010101010101010102,0.01020408163265306
1554991439184,1957183,0.02,0.0,0.01020408163265306
1554991439854,1957853,0.02,0.0,0.0
1554991439888,1957887,0.0392156862745098,0.0,0.0
1554991440184,1958183,0.0392156862745098,0.019801980198019802,0.0
1554991440854,1958853,0.0392156862745098,0.019801980198019802,0.0
1554991440888,1958887,0.020202020202020204,0.019801980198019802,0.0
1554991441185,1959184,0.020202020202020204,0.0,0.0
1554991441854,1959853,0.020202020202020204,0.0,0.010101010101010102
1554991441889,1959888,0.0297029702970297,0.0,0.010101010101010102
1554991442185,1960184,0.0297029702970297,0.0297029702970297,0.010101010101010102
1554991442854,1960853,0.0297029702970297,0.0297029702970297,0.0
1554991442889,1960888,0.010101010101010102,0.0297029702970297,0.0
1554991443184,1961183,0.010101010101010102,0.0297029702970297,0.0
1554991443854,1961853,0.010101010101010102,0.0297029702970297,0.01
1554991443889,1961888,0.02,0.0297029702970297,0.01
1554991444185,1962184,0.02,0.02,0.01
1554991444854,1962853,0.02,0.02,0.0
1554991444889,1962888,0.02,0.02,0.0
1554991445185,1963184,0.02,0.03,0.0
1554991445854,1963853,0.02,0.03,0.0
1554991445889,1963888,0.02,0.03,0.0
1554991446184,1964183,0.02,0.0297029702970297,0.0
1554991446854,1964853,0.02,0.0297029702970297,0.0
1554991446888,1964887,0.02,0.0297029702970297,0.0
1554991447185,1965184,0.02,0.02,0.0
1554991447854,1965853,0.02,0.02,0.01
1554991447889,1965888,0.02,0.02,0.01
1554991448184,1966183,0.02,0.010101010101010102,0.01
1554991448854,1966853,0.02,0.010101010101010102,0.0
1554991448889,1966888,0.0297029702970297,0.010101010101010102,0.0
1554991449184,1967183,0.0297029702970297,0.02,0.0
1554991449854,1967853,0.0297029702970297,0.02,0.010101010101010102
